ประทับเวลา,ระดับชั้นปีการศึกษาในปัจจุบัน,ภาควิชาที่กำลังศึกษาอยู่ในปัจจุบัน,เป้าหมายหลังการศึกษาในมหาวิทยาลัยของคุณคืออะไร ?,1. ครอบครัวมีความเข้าใจในสิ่งที่คุณเรียน (วิศวกรรมศาสตร์) มากน้อยเพียงใด ?  ,2. คุณรู้สึกว่าครอบครัวคาดหวังให้คุณต้องเรียนจบด้วยเกรดเฉลี่ยที่สูง (เกียรตินิยม),3. เมื่อคุณทำผิดพลาดหรือสอบตก คุณรู้สึกกลัวที่จะบอกความจริงกับที่บ้านเพราะกังวลว่าจะทำให้เขาผิดหวัง  ,4. คุณรู้สึกว่าที่บ้านมักจะวางแผนอนาคต เช่น การทำงานหรือการเรียนต่อ ไว้ให้คุณล่วงหน้าโดยที่ยังไม่ได้ถามความสมัครใจของคุณ ,5. คุณถูกคาดหวังให้รักษามาตรฐานผลการเรียนให้คงที่หรือดีขึ้นในทุกภาคการศึกษา ,6. อาชีพรูปแบบใดที่ครอบครัวต้องการให้คุณทำมากที่สุดหลังจากเรียนจบ ? ,7. ปฏิกิริยาของครอบครัวที่คุณกังวลมากที่สุด หากคุณทำไม่ได้ตามเป้าหมายคืออะไร ? ,"8. สถานการณ์ใดในครอบครัวที่ทำให้คุณรู้สึก ""อึดอัด"" มากที่สุด ? ",9. คำพูดหรือการกระทำใดจากครอบครัวที่ทำให้คุณรู้สึกกดดันเรื่องอนาคตมากที่สุด ? ,1. คุณมักจะรู้สึกว่า คุณค่าในตัวเอง (Self-worth) ลดลงอย่างมาก เมื่อผลการเรียนหรือทิศทางอาชีพไม่เป็นไปตามที่ครอบครัวคาดหวังไว้,"2. ความกลัวที่จะทำให้ครอบครัวผิดหวัง ทำให้คุณมีภาวะความเครียดสะสมจนเริ่มส่งผล กระทบต่อการใช้ชีวิต สุขภาพกาย หรือสุขภาพจิต 
เช่น นอนไม่หลับ ซึมเศร้า วิตกกังวล",3. คุณรู้สึกสูญเสียความเป็นตัวเองหรือเป้าหมายที่แท้จริงในชีวิตไป เพราะต้องพยายามเดินตามเส้นทางความมั่นคง ที่ครอบครัวมองว่าดีที่สุดสำหรับนักศึกษาวิศวกรรมศาสตร์,4. ในวันที่คุณรู้สึกแบกรับความกดดันเรื่องเรียนไม่ไหว คุณรู้สึกว่าครอบครัว ไม่ใช่พื้นที่ปลอดภัย ที่ฉันจะสามารถระบายความล้มเหลวหรือความอ่อนแอให้ฟังได้,5. เพียงแค่คุณมีความคิดที่อยากจะเปลี่ยนสายงาน หรือทำในสิ่งที่ครอบครัวมองว่า ไม่มีความมั่นคง คุณก็ถูกทำให้รู้สึกว่าตัวเองกลายเป็น คนล้มเหลว ไปแล้ว  ,6. เมื่อคุณรู้สึกกดดันจากความคาดหวังของครอบครัว อาการหรือพฤติกรรมใดในมิติความเป็นมนุษย์ที่คุณมักเผชิญบ่อยที่สุด ? ,7. เหตุการณ์หรือคำพูดรูปแบบใดจากครอบครัว ที่มักเป็น ตัวกระตุ้น (Trigger) ให้คุณเกิดความรู้สึกล้มเหลวมากที่สุด ? ,8. ในจังหวะที่คุณรู้สึกว่าตัวเอง ล้มเหลวหรือทำให้ครอบครัวผิดหวัง คุณมีกลไกการรับมือ (Coping Mechanism) กับความรู้สึกนั้นอย่างไร ?,9. เรื่องใดที่คุณรู้สึกว่า ความต้องการของตัวเอง ขัดแย้งกับ ภาพจำ/ความคาดหวังของครอบครัว จนสร้างบาดแผลในใจมากที่สุด ?  ,10. หากจะเยียวยาความรู้สึกล้มเหลวนี้ สิ่งใดในมิติความเป็นมนุษย์ที่คุณโหยหาและต้องการมากที่สุดจากครอบครัว ? (เพื่อนำไปสู่การสร้างแคมเปญ)   ,1. เมื่อคุณรู้สึกเครียดหรือรู้สึกล้มเหลวจากการเรียน คุณรู้สึกว่า ครอบครัวรับฟังคุณอย่างตั้งใจมากน้อยเพียงใด,2. เมื่อคุณพูดถึงความกดดันหรือปัญหาการเรียน ครอบครัวของคุณมักตอบสนองในลักษณะใดมากที่สุด ?,3. คุณมักจะเลือกโกหกเรื่องเกรดหรือปัญหาในการเรียนเพื่อหลีกเลี่ยงการปะทะหรือความผิดหวังของพ่อแม่ ,4. คุณเคยรู้สึกว่าคุณต้องเก็บความเครียดหรือปัญหาการเรียนไว้กับตัวเอง เพราะคิดว่าครอบครัวจะไม่เข้าใจหรือไม่,5. คุณรู้สึกโดดเดี่ยวในการรับมือกับความคาดหวังของครอบครัวมากน้อยเพียงใด,6. ความคาดหวังของครอบครัวเคยทำให้คุณรู้สึกว่าการพูดคุยกับครอบครัวเป็นเรื่องยากขึ้นมากน้อยเพียงใด,7. คุณรู้สึกว่าครอบครัวรักและภูมิใจในตัวคุณ เมื่อคุณทำสำเร็จ มากกว่า เมื่อคุณเป็นตัวเอง,8. บ้านเป็นพื้นที่ที่คุณสามารถพูดคุยเรื่องความล้มเหลว หรือความผิดพลาดได้โดยไม่ถูกตำหนิ ,9. เมื่อคุณพยายามอธิบายความต้องการที่แท้จริง ครอบครัวมักจะตัดบทหรือมองว่าเป็นเรื่องไร้สาระ,คุณคิดว่าวิธีใดสามารถช่วยลดความเครียดของนักศึกษาที่เกิดจากความคาดหวังของครอบครัวได้มากที่สุด,หากมีการจัดแคมเปญเพื่อสร้างพื้นที่รับฟัง คุณอยากให้เน้นเรื่องการสื่อสารแบบไหนเป็นหลัก ?  
"11/3/2026, 22:56:21",ปี 1,วิศวกรรมคอมพิวเตอร์,ยังไม่ทราบ,5,1,5,1,1,ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน,การพูดถึงความลำบากและภาระค่าใช้จ่ายในการส่งเรียน,การรวมญาติแล้วมีการถามเรื่องเกรดหรือการหางาน,จน,1,5,5,1,5,เกิดภาวะ Imposter Syndrome (รู้สึกว่าตัวเองเก่งไม่จริง และกลัวคนอื่นรู้ว่าเราห่วย),"คำพูดเชิงตั้งคำถามถึงอนาคตด้วยความกดดัน เช่น ""จบไปจะทำงานอะไร"" ""เงินเดือนแค่นี้จะเลี้ยงตัวเองรอดไหม""",พยายามฝืนตัวเอง อ่านหนังสือหรือทำงานหนักขึ้นไปอีกเพื่อพิสูจน์ตัวเอง (Toxic Productivity) แม้ร่างกายจะไม่ไหวก็ตาม,นิยามของความสำเร็จ (ครอบครัวคาดหวังเกียรตินิยมหรือความเพอร์เฟกต์ แต่เราขอแค่เรียนรอดและมีสุขภาพจิตที่ดี),การอนุญาตให้เราล้มเหลว ผิดพลาด หรืออ่อนแอได้ โดยยังคงได้รับความรักและการซัพพอร์ตเหมือนเดิม,5,รับฟังและพยายามทำความเข้าใจ,ไม่เคยเลย,ไม่เคยเลย,1,1,1,5,ไม่เคยเลย,การสร้างสื่อหรือแคมเปญให้ครอบครัวเข้าใจความกดดันของนักศึกษา,จิตวิทยา
"11/3/2026, 22:57:54",ปี 2,วิศวกรรมคอมพิวเตอร์,"ทำงานบริษัทใหญ่, ฟรีแลนซ์, สตาร์ทอัพ, เรียนต่อในระดับอื่น ๆ",2,4,4,4,5,ธุรกิจส่วนตัวหรือสืบทอดกิจการครอบครัว,การแสดงความผิดหวังหรือตำหนิโดยตรง,การรวมญาติแล้วมีการถามเรื่องเกรดหรือการหางาน,Don’t talk to me till you be a doctor nigg,4,5,4,4,4,ปลีกตัวออกจากสังคม ไม่อยากพูดคุยกับเพื่อน และหลีกเลี่ยงการคุยกับคนในครอบครัว,"คำพูดเชิงตั้งคำถามถึงอนาคตด้วยความกดดัน เช่น ""จบไปจะทำงานอะไร"" ""เงินเดือนแค่นี้จะเลี้ยงตัวเองรอดไหม""",พยายามฝืนตัวเอง อ่านหนังสือหรือทำงานหนักขึ้นไปอีกเพื่อพิสูจน์ตัวเอง (Toxic Productivity) แม้ร่างกายจะไม่ไหวก็ตาม,นิยามของความสำเร็จ (ครอบครัวคาดหวังเกียรตินิยมหรือความเพอร์เฟกต์ แต่เราขอแค่เรียนรอดและมีสุขภาพจิตที่ดี),การยอมรับในตัวตนและความสนใจที่แท้จริงของเรา แม้เส้นทางนั้นจะไม่ตรงกับภาพฝันที่ครอบครัวเคยวาดไว้,4,มองว่าเป็นเรื่องเล็กน้อย,ไม่เคยเลย,นาน ๆ ครั้ง,3,3,3,3,บางครั้ง,การสร้างสื่อหรือแคมเปญให้ครอบครัวเข้าใจความกดดันของนักศึกษา,อยากให้ยอมฟังคนที่พูดด้วย ไม่ใช่พูดอย่างเดียวไอ่เวร
"11/3/2026, 23:00:20",ปี 2,วิศวกรรมคอมพิวเตอร์,ทำงานบริษัทใหญ่,3,3,5,4,2,งานรับราชการหรือรัฐวิสาหกิจ,การพูดถึงความลำบากและภาระค่าใช้จ่ายในการส่งเรียน,การรวมญาติแล้วมีการถามเรื่องเกรดหรือการหางาน,ไม่มี ส่วนใหญ่กดดันตัวเอง,2,2,1,5,1,พึ่งพาสิ่งหลีกหนีความจริง (Escapism) เช่น เล่นเกมหนักขึ้น ไถโซเชียลมีเดียตลอดเวลา หรือใช้สารเสพติด,การถูกปฏิเสธ ด่วนตัดสิน หรือไม่รับฟัง เมื่อพยายามอธิบายความยากลำบากในการเรียนวิศวกรรมศาสตร์,พยายามฝืนตัวเอง อ่านหนังสือหรือทำงานหนักขึ้นไปอีกเพื่อพิสูจน์ตัวเอง (Toxic Productivity) แม้ร่างกายจะไม่ไหวก็ตาม,"ความเข้าใจในธรรมชาติของสายอาชีพ (ครอบครัวไม่เข้าใจความกดดันของการเรียน Tech หรือคอมพิวเตอร์ และมองว่ามันเรียนง่าย สบาย), การประเมินขีดจำกัดของตัวเอง (ครอบครัวมองว่าเราเก่งและต้องทำได้ แต่เรารู้สึกว่ามันเกินขีดจำกัดของเราไปแล้ว)","การชื่นชมและให้กำลังใจใน ""ความพยายามและความอดทน"" มากกว่าการตีค่าเราที่ ""ผลการเรียน"", การอนุญาตให้เราล้มเหลว ผิดพลาด หรืออ่อนแอได้ โดยยังคงได้รับความรักและการซัพพอร์ตเหมือนเดิม",5,รับฟังและพยายามทำความเข้าใจ,ไม่เคยเลย,นาน ๆ ครั้ง,1,1,1,4,บางครั้ง,"การเปิดพื้นที่ให้ครอบครัวและนักศึกษาได้พูดคุยกันมากขึ้น, การให้คำปรึกษาจากอาจารย์หรือผู้เชี่ยวชาญ",แนวเล่าสู่กันฟัง เป็นเหมือนการยอมรับตัวเอง
"11/3/2026, 23:08:53",ปี 2,วิศวกรรมคอมพิวเตอร์,"ทำงานบริษัทใหญ่, ฟรีแลนซ์, สตาร์ทอัพ",3,3,4,1,2,"งานในบริษัทเอกชนหรือบริษัทข้ามชาติที่มีชื่อเสียง, ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน",การเปรียบเทียบกับลูกคนอื่นหรือคนรู้จัก,"การถูกสั่งให้ทำกิจกรรมหรือเรียนเสริมในสิ่งที่ไม่ชอบ, การที่ที่บ้านไม่เข้าใจความลำบากในการเรียนวิศวกรรมศาสตร์",เรกดแค่นี้ระวังจะหางานไม่ได้ (ที่บ้านยังไม่เคยพูด),3,3,2,2,1,"มีภาวะหมดไฟ (Burnout) เหนื่อยล้าเรื้อรัง และไม่อยากไปเรียนหรือทำกิจกรรมใด ๆ, พึ่งพาสิ่งหลีกหนีความจริง (Escapism) เช่น เล่นเกมหนักขึ้น ไถโซเชียลมีเดียตลอดเวลา หรือใช้สารเสพติด, เกิดภาวะ Imposter Syndrome (รู้สึกว่าตัวเองเก่งไม่จริง และกลัวคนอื่นรู้ว่าเราห่วย)",การถูกปฏิเสธ ด่วนตัดสิน หรือไม่รับฟัง เมื่อพยายามอธิบายความยากลำบากในการเรียนวิศวกรรมศาสตร์,หากิจกรรมหรือพื้นที่อื่นทำเพื่อดึงคุณค่าตัวเองกลับมา เช่น งานอดิเรก กิจกรรมชมรม การทำงานพาร์ทไทม์,การประเมินขีดจำกัดของตัวเอง (ครอบครัวมองว่าเราเก่งและต้องทำได้ แต่เรารู้สึกว่ามันเกินขีดจำกัดของเราไปแล้ว),การเปิดใจเรียนรู้และทำความเข้าใจบริบทสังคม โลกการทำงาน และความกดดันของคนยุคใหม่ไปด้วยกัน,4,รับฟังและพยายามทำความเข้าใจ,นาน ๆ ครั้ง,บางครั้ง,2,3,1,4,ไม่เคยเลย,"การให้คำปรึกษาจากอาจารย์หรือผู้เชี่ยวชาญ, การจัดกิจกรรมหรือเวิร์กชอปเกี่ยวกับสุขภาพจิต, การสร้างสื่อหรือแคมเปญให้ครอบครัวเข้าใจความกดดันของนักศึกษา",ให้ครอบครัวเข้าใจสิ่งที่เราเจอ
"11/3/2026, 23:14:24",ปี 2,วิศวกรรมคอมพิวเตอร์,ทำงานบริษัทใหญ่,5,1,1,1,1,ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน,การเงียบเฉยและไม่พูดคุยถึงเรื่องนั้นอีก,การรวมญาติแล้วมีการถามเรื่องเกรดหรือการหางาน,-,2,2,1,1,2,เกิดภาวะ Imposter Syndrome (รู้สึกว่าตัวเองเก่งไม่จริง และกลัวคนอื่นรู้ว่าเราห่วย),การถูกนำไปเปรียบเทียบกับลูกบ้านอื่น พี่น้อง หรือเพื่อนรุ่นเดียวกันที่ประสบความสำเร็จ,"หันไปพึ่งพาและระบายให้เพื่อนสนิท รุ่นพี่ หรือคนรักฟังแทนครอบครัว, หากิจกรรมหรือพื้นที่อื่นทำเพื่อดึงคุณค่าตัวเองกลับมา เช่น งานอดิเรก กิจกรรมชมรม การทำงานพาร์ทไทม์",การประเมินขีดจำกัดของตัวเอง (ครอบครัวมองว่าเราเก่งและต้องทำได้ แต่เรารู้สึกว่ามันเกินขีดจำกัดของเราไปแล้ว),การรับฟังความเหนื่อยล้าอย่างแท้จริง (Deep Listening) โดยไม่สั่งสอน ไม่แทรก และไม่ตัดสินในทันที,5,รับฟังและพยายามทำความเข้าใจ,ไม่เคยเลย,นาน ๆ ครั้ง,1,1,2,5,นาน ๆ ครั้ง,"การเปิดพื้นที่ให้ครอบครัวและนักศึกษาได้พูดคุยกันมากขึ้น, การให้คำปรึกษาจากอาจารย์หรือผู้เชี่ยวชาญ, การจัดกิจกรรมหรือเวิร์กชอปเกี่ยวกับสุขภาพจิต, การสร้างสื่อหรือแคมเปญให้ครอบครัวเข้าใจความกดดันของนักศึกษา",การทำให้บ้านที่ปลอดภัยที่สามารถพูดคุยกันได้
"11/3/2026, 23:52:34",ปี 1,วิศวกรรมคอมพิวเตอร์,"ทำงานบริษัทใหญ่, เรียนต่อในระดับอื่น ๆ",4,2,2,1,2,ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน,การเงียบเฉยและไม่พูดคุยถึงเรื่องนั้นอีก,การรวมญาติแล้วมีการถามเรื่องเกรดหรือการหางาน,ไม่มี,3,3,2,1,2,"มีภาวะหมดไฟ (Burnout) เหนื่อยล้าเรื้อรัง และไม่อยากไปเรียนหรือทำกิจกรรมใด ๆ, ไม่มีพฤติกรรมใด ๆ หรือไม่รู้สึกกดดันจากความคาดหวังของครอบครัว",ไม่มีเหตุการณ์ใดที่ทำให้เกิดความรู้สึกล้มเหลว,หันไปพึ่งพาและระบายให้เพื่อนสนิท รุ่นพี่ หรือคนรักฟังแทนครอบครัว,เส้นทางอาชีพ เช่น เราอยากทำ Startup Freelance หรือสายงานยุคใหม่ แต่ครอบครัวอยากให้รับราชการหรือทำบริษัทใหญ่ที่มั่นคง,"การรับฟังความเหนื่อยล้าอย่างแท้จริง (Deep Listening) โดยไม่สั่งสอน ไม่แทรก และไม่ตัดสินในทันที, การยอมรับในตัวตนและความสนใจที่แท้จริงของเรา แม้เส้นทางนั้นจะไม่ตรงกับภาพฝันที่ครอบครัวเคยวาดไว้",4,ให้คำแนะนำหรือแนวทางแก้ไขทันที,ไม่เคยเลย,นาน ๆ ครั้ง,2,2,2,4,บางครั้ง,"การเปิดพื้นที่ให้ครอบครัวและนักศึกษาได้พูดคุยกันมากขึ้น, การให้คำปรึกษาจากอาจารย์หรือผู้เชี่ยวชาญ",เรื่องการจัดการความคิดของตัวเอง เพราะว่าจริงๆแล้วปัญหามันมีวิธีในการแก้ไข แต่การที่เราจัดการความคิดของตัวเองไม่ได้เราก็จะจมอยู่กับปัญหาจนเครียดหรือคิดลบมากไป
"11/3/2026, 23:56:43",ปี 2,วิศวกรรมคอมพิวเตอร์,"ทำงานบริษัทใหญ่, เรียนต่อในระดับอื่น ๆ",5,2,2,1,2,"งานรับราชการหรือรัฐวิสาหกิจ, ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน",การเงียบเฉยและไม่พูดคุยถึงเรื่องนั้นอีก,การถูกคาดหวังให้เป็นเสาหลักของครอบครัวทันทีที่เรียนจบ,เรียนจบสูง ๆ,2,3,3,2,1,ไม่มีพฤติกรรมใด ๆ หรือไม่รู้สึกกดดันจากความคาดหวังของครอบครัว,ไม่มีเหตุการณ์ใดที่ทำให้เกิดความรู้สึกล้มเหลว,ไม่มีการรับมือกับความรู้สึกนั้น เพราะไม่เคยมีเหตุการณ์แบบนี้เกิดขึ้น,ไม่มีเรื่องใดที่ขัดแย้งกับภาพจำ/ความคาดหวังของครอบครัวจนสร้างบาดแผลในใจ,การอนุญาตให้เราล้มเหลว ผิดพลาด หรืออ่อนแอได้ โดยยังคงได้รับความรักและการซัพพอร์ตเหมือนเดิม,5,รับฟังและพยายามทำความเข้าใจ,ไม่เคยเลย,นาน ๆ ครั้ง,1,1,2,5,ไม่เคยเลย,"การเปิดพื้นที่ให้ครอบครัวและนักศึกษาได้พูดคุยกันมากขึ้น, การให้คำปรึกษาจากอาจารย์หรือผู้เชี่ยวชาญ, การสร้างสื่อหรือแคมเปญให้ครอบครัวเข้าใจความกดดันของนักศึกษา",นั่งรับฟังความเห็นและเข้าใจอย่างลึกซึ้ง
"12/3/2026, 0:21:25",ปี 1,วิศวกรรมคอมพิวเตอร์,ทำงานบริษัทใหญ่,2,2,4,1,3,ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน,"การแสดงความผิดหวังหรือตำหนิโดยตรง, การพูดถึงความลำบากและภาระค่าใช้จ่ายในการส่งเรียน",การที่พ่อแม่เล่าเรื่องความสำเร็จของลูกคนอื่นให้ฟังบ่อย ๆ,-,2,3,1,2,1,มีภาวะหมดไฟ (Burnout) เหนื่อยล้าเรื้อรัง และไม่อยากไปเรียนหรือทำกิจกรรมใด ๆ,ไม่มีเหตุการณ์ใดที่ทำให้เกิดความรู้สึกล้มเหลว,"หันไปพึ่งพาและระบายให้เพื่อนสนิท รุ่นพี่ หรือคนรักฟังแทนครอบครัว, หากิจกรรมหรือพื้นที่อื่นทำเพื่อดึงคุณค่าตัวเองกลับมา เช่น งานอดิเรก กิจกรรมชมรม การทำงานพาร์ทไทม์",ไม่มีเรื่องใดที่ขัดแย้งกับภาพจำ/ความคาดหวังของครอบครัวจนสร้างบาดแผลในใจ,"การอนุญาตให้เราล้มเหลว ผิดพลาด หรืออ่อนแอได้ โดยยังคงได้รับความรักและการซัพพอร์ตเหมือนเดิม, การเปิดใจเรียนรู้และทำความเข้าใจบริบทสังคม โลกการทำงาน และความกดดันของคนยุคใหม่ไปด้วยกัน",5,รับฟังและพยายามทำความเข้าใจ,นาน ๆ ครั้ง,นาน ๆ ครั้ง,2,2,1,4,ไม่เคยเลย,"การเปิดพื้นที่ให้ครอบครัวและนักศึกษาได้พูดคุยกันมากขึ้น, การจัดกิจกรรมหรือเวิร์กชอปเกี่ยวกับสุขภาพจิต",-
"12/3/2026, 0:21:52",ปี 3,วิศวกรรมคอมพิวเตอร์,"ทำงานบริษัทใหญ่, ยังไม่ทราบ",3,2,4,2,4,ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน,"การแสดงความผิดหวังหรือตำหนิโดยตรง, การเปรียบเทียบกับลูกคนอื่นหรือคนรู้จัก, การพูดถึงความลำบากและภาระค่าใช้จ่ายในการส่งเรียน, การเงียบเฉยและไม่พูดคุยถึงเรื่องนั้นอีก","การรวมญาติแล้วมีการถามเรื่องเกรดหรือการหางาน, การที่พ่อแม่เล่าเรื่องความสำเร็จของลูกคนอื่นให้ฟังบ่อย ๆ, การถูกคาดหวังให้เป็นเสาหลักของครอบครัวทันทีที่เรียนจบ, การที่ที่บ้านไม่เข้าใจความลำบากในการเรียนวิศวกรรมศาสตร์",การพูดถึงคนอื่นให้ฟังเเล้วดูคาดหวังจะอยากให้ประสบความสำเร็จเเบบนั้น,3,3,2,2,2,"มีภาวะหมดไฟ (Burnout) เหนื่อยล้าเรื้อรัง และไม่อยากไปเรียนหรือทำกิจกรรมใด ๆ, ปลีกตัวออกจากสังคม ไม่อยากพูดคุยกับเพื่อน และหลีกเลี่ยงการคุยกับคนในครอบครัว","การถูกนำไปเปรียบเทียบกับลูกบ้านอื่น พี่น้อง หรือเพื่อนรุ่นเดียวกันที่ประสบความสำเร็จ, คำพูดเชิงตั้งคำถามถึงอนาคตด้วยความกดดัน เช่น ""จบไปจะทำงานอะไร"" ""เงินเดือนแค่นี้จะเลี้ยงตัวเองรอดไหม"", การย้ำเตือนเรื่องบุญคุณ ความเสียสละ หรือค่าใช้จ่ายที่ครอบครัวลงทุนไปกับการศึกษาของเรา","หันไปพึ่งพาและระบายให้เพื่อนสนิท รุ่นพี่ หรือคนรักฟังแทนครอบครัว, หากิจกรรมหรือพื้นที่อื่นทำเพื่อดึงคุณค่าตัวเองกลับมา เช่น งานอดิเรก กิจกรรมชมรม การทำงานพาร์ทไทม์","เส้นทางอาชีพ เช่น เราอยากทำ Startup Freelance หรือสายงานยุคใหม่ แต่ครอบครัวอยากให้รับราชการหรือทำบริษัทใหญ่ที่มั่นคง, ความเข้าใจในธรรมชาติของสายอาชีพ (ครอบครัวไม่เข้าใจความกดดันของการเรียน Tech หรือคอมพิวเตอร์ และมองว่ามันเรียนง่าย สบาย), การประเมินขีดจำกัดของตัวเอง (ครอบครัวมองว่าเราเก่งและต้องทำได้ แต่เรารู้สึกว่ามันเกินขีดจำกัดของเราไปแล้ว)","การรับฟังความเหนื่อยล้าอย่างแท้จริง (Deep Listening) โดยไม่สั่งสอน ไม่แทรก และไม่ตัดสินในทันที, การอนุญาตให้เราล้มเหลว ผิดพลาด หรืออ่อนแอได้ โดยยังคงได้รับความรักและการซัพพอร์ตเหมือนเดิม, การเปิดใจเรียนรู้และทำความเข้าใจบริบทสังคม โลกการทำงาน และความกดดันของคนยุคใหม่ไปด้วยกัน",3,รับฟังและพยายามทำความเข้าใจ,บางครั้ง,บ่อยมาก,4,4,3,3,นาน ๆ ครั้ง,"การเปิดพื้นที่ให้ครอบครัวและนักศึกษาได้พูดคุยกันมากขึ้น, การสร้างสื่อหรือแคมเปญให้ครอบครัวเข้าใจความกดดันของนักศึกษา",หลักๆคือการรับฟังและทำความเข้าใจถึงข้อเท็จจริง ทั้งที่เกี่ยวกับสายงาน บริบทของสังคม และข้อจำกัดของสังคมในปัจจุบันที่มีความเเตกต่างออกไปจากในอดีต อาจจะรวมถึงในเรื่องของการใช้คำพูดที่อาจจะนำไปสู่การสร้างความรู้สึกเชิงลบทั้งโดยตั้งใจและไม่ได้ตั้งใจ
"12/3/2026, 9:15:17",ปี 2,วิศวกรรมระบบควบคุมและเครื่องมือวัด,ทำงานที่ให้ประสบการณ์เยอะๆ ,4,3,3,3,5,"ธุรกิจส่วนตัวหรือสืบทอดกิจการครอบครัว, ไม่ระบุเจาะจง ขอให้เป็นงานที่มีรายได้แน่นอน",การเงียบเฉยและไม่พูดคุยถึงเรื่องนั้นอีก,การถูกคาดหวังให้เป็นเสาหลักของครอบครัวทันทีที่เรียนจบ,-,3,4,1,1,2,"มีภาวะหมดไฟ (Burnout) เหนื่อยล้าเรื้อรัง และไม่อยากไปเรียนหรือทำกิจกรรมใด ๆ, พึ่งพาสิ่งหลีกหนีความจริง (Escapism) เช่น เล่นเกมหนักขึ้น ไถโซเชียลมีเดียตลอดเวลา หรือใช้สารเสพติด, ปลีกตัวออกจากสังคม ไม่อยากพูดคุยกับเพื่อน และหลีกเลี่ยงการคุยกับคนในครอบครัว, เกิดภาวะ Imposter Syndrome (รู้สึกว่าตัวเองเก่งไม่จริง และกลัวคนอื่นรู้ว่าเราห่วย)","การถูกนำไปเปรียบเทียบกับลูกบ้านอื่น พี่น้อง หรือเพื่อนรุ่นเดียวกันที่ประสบความสำเร็จ, คำพูดเชิงตั้งคำถามถึงอนาคตด้วยความกดดัน เช่น ""จบไปจะทำงานอะไร"" ""เงินเดือนแค่นี้จะเลี้ยงตัวเองรอดไหม"", การย้ำเตือนเรื่องบุญคุณ ความเสียสละ หรือค่าใช้จ่ายที่ครอบครัวลงทุนไปกับการศึกษาของเรา","เก็บเงียบไว้คนเดียว กล้ำกลืนความรู้สึกไว้ เพราะกลัวถูกตัดสินซ้ำเติมถ้าพูดออกไป, พยายามฝืนตัวเอง อ่านหนังสือหรือทำงานหนักขึ้นไปอีกเพื่อพิสูจน์ตัวเอง (Toxic Productivity) แม้ร่างกายจะไม่ไหวก็ตาม, หากิจกรรมหรือพื้นที่อื่นทำเพื่อดึงคุณค่าตัวเองกลับมา เช่น งานอดิเรก กิจกรรมชมรม การทำงานพาร์ทไทม์, ปล่อยปละละเลยประชดชีวิต (Self-sabotage) และรู้สึกยอมแพ้กับความคาดหวังนั้นไปเลย","นิยามของความสำเร็จ (ครอบครัวคาดหวังเกียรตินิยมหรือความเพอร์เฟกต์ แต่เราขอแค่เรียนรอดและมีสุขภาพจิตที่ดี), การให้คุณค่ากับการพักผ่อน (ครอบครัวมองว่าเวลาว่างคือความขี้เกียจ แต่เราต้องการเวลาพักฟื้นจากการเขียนโค้ดหรือเรียนหนัก), การประเมินขีดจำกัดของตัวเอง (ครอบครัวมองว่าเราเก่งและต้องทำได้ แต่เรารู้สึกว่ามันเกินขีดจำกัดของเราไปแล้ว)",ไม่มีความโหยหาและต้องการมากที่สุดจากครอบครัว,4,ให้คำแนะนำหรือแนวทางแก้ไขทันที,นาน ๆ ครั้ง,บางครั้ง,5,2,5,4,ไม่เคยเลย,"การให้คำปรึกษาจากอาจารย์หรือผู้เชี่ยวชาญ, การจัดกิจกรรมหรือเวิร์กชอปเกี่ยวกับสุขภาพจิต",-
